"Vi","D","GR","GR_copy","scores","C","scores2","GR_fit","GR_fit_copy","GR_fit_copy_copy","GR_fit_copy_copy_copy","C_fit","D_fit","Vi_fit","GR_fit #2","Vi_wold","C_keas","D_keas"
"1.7031040188","70.8735320421","0.0049215124","0.0049215124","0.0100521375","86.287647002","0.8994786253","0.0004","0.0004","0.0004","0.0004","322.9166596357","54.02","1.6602336","0.0023","0.3240646802","222.8603041548","118.6524767491"
"1.1747906968","27.9687546026","0.0020125786","0.0020125786","0.0104304286","152.0153856888","0.8956957141","0.0005","0.0005","0.0005","0.0005","321.1452905734","54.02","1.7011025","0.0024","0.8547906508","215.9965865896","114.998182675"
"1.4620016371","69.1270801909","0.0015877244","0.0015877244","0.0118713698","221.8331119566","0.8812863016","0.0006","0.0006","0.0006","0.0006","319.3737078712","54.02","1.7413956","0.0025","1.2987126712","209.3950895468","111.4834967495"
"2.696638375","64.4411426909","0.003873716","0.003873716","0.0114314242","279.6751693723","0.8856857584","0.0007","0.0007","0.0007","0.0007","317.6019115032","54.02","1.7811129","0.0026","1.6714258665","203.0457951896","108.1030854019"
"3.727544625","59.7552051909","0.006355337","0.006355337","0.0088364285","334.9692318724","0.9116357151","0.0008","0.0008","0.0008","0.0008","315.8299014436","54.02","1.8202544","0.0027","1.9853512023","196.9390684014","104.8518188248"
"4.4807656695","25.8642504035","0.0067525372","0.0067525372","0.0086858815","385.3041991804","0.9131411855","0.0009","0.0009","0.0009","0.0009","314.0576776668","54.02","1.8588201","0.0028","2.2504568828","191.0656421639","101.7247631891"
"3.6239521575","78.441651619","0.0042936112","0.0042936112","0.0101075097","329.5085624521","0.8989249034","0.001","0.001","0.001","0.001","312.2852401469","54.02","1.89681","0.0029","2.4747990101","185.4166034952","98.7171731572"
"3.6568377465","34.0205321972","0.0016478023","0.0016478023","0.0128321599","272.5997241672","0.8716784007","0.0011","0.0011","0.0011","0.0011","310.5125888581","54.02","1.9342241","0.003","2.6649308527","179.9833799232","95.8244846813"
"3.1882439965","21.8370946972","0.0005043535","0.0005043535","0.0110929532","215.4312866672","0.8890704682","0.0012","0.0012","0.0012","0.0012","308.7397237747","54.02","1.9710624","0.0031","2.8262155362","174.7577264778","93.0423080785"
"3.0008064965","25.5858446972","0.0007004185","0.0007004185","0.013412534","159.2000366672","0.8658746597","0.0013","0.0013","0.0013","0.0013","306.9666448709","54.02","2.0073249","0.0032","2.9630670104","169.7317131784","90.3664213681"
"3.0008064965","1240.6008446978","0.0006895935","0.0006895935","0.0247121213","1374.2150366687","0.752878787","0.0014","0.0014","0.0014","0.0014","305.1933521209","54.02","2.0430116","0.0033","3.0791372396","164.8977130002","87.7927638658"
"0.6247820073","50.5939886945","0.0144610558","0.0144610558","0.0081203257","55.5516510369","0.9187967433","0.0015","0.0015","0.0015","0.0015","303.4198454988","54.02","2.0781225","0.0034","3.1774627104","160.2483903003","85.317430021"
"2.0368925063","49.1576791275","0.0143821682","0.0143821682","0.0106791136","110.8457135369","0.8932088639","0.0016","0.0016","0.0016","0.0016","301.646124979","54.02","2.1126576","0.0035","3.2605799055","155.7766896858","82.9366634901"
"3.0677987563","51.9692416275","0.0130650367","0.0130650367","0.0088272878","166.1397760369","0.9117271221","0.0017","0.0017","0.0017","0.0017","299.8721905356","54.02","2.1466169","0.0036","3.3306169171","151.475825307","80.6468514366"
"4.1924237563","69.5564664868","0.0112194643","0.0112194643","0.0099692438","218.8048001367","0.900307562","0.0018","0.0018","0.0018","0.0018","298.0980421428","54.02","2.1800004","0.0037","3.3893665809","147.3392705597","78.444519048"
"3.7238300063","57.3730289868","0.0081715497","0.0081715497","0.0097141448","161.6363626367","0.9028585518","0.0019","0.0019","0.0019","0.0019","296.3236797747","54.02","2.2128081","0.0038","3.4383451991","143.3607481814","76.3263242633"
"4.171307614","100.2238060243","0.004403913","0.004403913","0.0116261237","128.0091156396","0.8837387629","0.002","0.002","0.002","0.002","294.5491034057","54.02","2.24504","0.0039","3.4788399491","139.5342207252","74.2890527009"
"3.515276364","54.3016185243","0.0030130601","0.0030130601","0.0108726356","99.8934906395","0.8912736442","0.0021","0.0021","0.0021","0.0021","292.7743130099","54.02","2.2766961","0.004","3.5119473592","135.853881398","72.3296127813"
"2.203213864","29.3045183958","0.0026571077","0.0026571077","0.0104031835","101.7678656395","0.8959681649","0.0022","0.0022","0.0022","0.0022","290.9993085614","54.02","2.3077764","0.0041","3.5386046853","132.3141452485","70.4450310351"
"0.7373520197","50.0097035393","0.0017584448","0.0017584448","0.0094918611","53.3985057187","0.9050813893","0.0023","0.0023","0.0023","0.0023","289.2240900345","54.02","2.3382809","0.0042","3.5596156177","128.9096406924","68.6324475909"
"2.0494145197","47.7389206795","0.0013094758","0.0013094758","0.0080000513","109.3405271258","0.9199994872","0.0024","0.0024","0.0024","0.0024","287.4486574033","54.02","2.3682096","0.0043","3.5756714355","125.6352013604","66.8891118354"
"3.4600747205","62.9067068704","0.0009018948","0.0009018948","0.00646358","162.5027432415","0.9353641995","0.0025","0.0025","0.0025","0.0025","285.6730106421","54.02","2.3975625","0.0044","3.587368487","122.4858582585","65.2123782395"
"4.7429447691","120.4097717788","0.00092284","0.00092284","0.0063107989","146.959655661","0.9368920105","0.0026","0.0026","0.0026","0.0026","283.8971497249","54.02","2.4263396","0.0045","3.5952226912","119.4568322276","63.5997023434"
"5.7738510191","115.7238342788","0.0009225148","0.0009225148","0.0070996329","202.253718161","0.9290036709","0.0027","0.0027","0.0027","0.0027","282.121074626","54.02","2.4545409","0.0046","3.5996816129","116.5435266909","62.0486368956"
"5.89503631","62.2397872508","0.0008940974","0.0008940974","0.0082543043","254.0845939458","0.9174569569","0.0028","0.0028","0.0028","0.0028","280.3447853195","54.02","2.4821664","0.0047","3.6011345545","113.7415206784","60.556828139"
"6.92594256","65.0513497508","0.0011735431","0.0011735431","0.0061059723","301.8811564458","0.9389402768","0.0029","0.0029","0.0029","0.0029","278.5682817796","54.02","2.5092161","0.0048","3.599921017","111.0465621185","59.122012239"
"7.0901170971","84.4630999107","0.0009683729","0.0009683729","0.0063853014","342.0084777893","0.9361469863","0.003","0.003","0.003","0.003","276.7915639804","54.02","2.53569","0.0049","3.5963378186","108.454561385","57.7420118485"
"8.5545343327","94.7721624107","0.0010024531","0.0010024531","0.0085571388","291.1630172158","0.914428612","0.0031","0.0031","0.0031","0.0031","275.0146318962","54.02","2.5615881","0.005","3.5906451011","105.9615850912","56.4147328032"
"8.5545343327","51.6465374107","0.0007570927","0.0007570927","0.0104556623","1196.801142213","0.8954433768","0.0032","0.0032","0.0032","0.0032","273.237485501","54.02","2.5869104","0.0051","3.5830714128","103.5638501211","55.1381609441"
"0.9134492212","53.1119625288","0.0128323949","0.0128323949","0.0075445749","66.7217785938","0.924554251","0.0033","0.0033","0.0033","0.0033","271.4601247691","54.02","2.6116569","0.0052","3.5738180226","101.2577178882","53.9103590609"
"2.2853927569","41.5256674245","0.012632826","0.012632826","0.0064234762","133.033977101","0.9357652379","0.0034","0.0034","0.0034","0.0034","269.6825496745","54.02","2.6358276","0.0053","3.5630625909","99.0396888142","52.729463952"
