mu_min,C_min
0.0009188553, 231.9405235422
0.0017169005, 177.5723591945
0.0014371084, 177.5159269204
0.0025540031, 158.2390162883
0.0021323885, 141.6284468441
0.003330988, 123.2148207712
0.0037147897, 115.4656978887
0.0015331007, 100.9379053527
0.0026754115, 99.6799777909
0.0028965217, 96.3630141248
0.0041324316, 97.9979705442
0.0048783284, 96.3008381078
0.0028944396, 78.5027019524
0.0027889222, 73.3749276048
0.003641174, 83.9907525739
0.0038270559, 78.4855185882
0.0036505794, 64.6700937666
0.0040703034, 65.0626785945
0.0050621999, 73.5511647832
0.0046064339, 63.9904175222
0.0057960588, 68.592687258
0.0057262006, 69.3484202314
0.0063325484, 70.5997903534
0.0053174854, 63.3896698784
0.0048741402, 60.3749228185
0.0041857766, 55.5914858584
0.0049307879, 46.2985884751
0.005702005, 61.7992753311
0.0058183876, 60.1291384864
0.0055263422, 54.9637426229
0.0050468594, 41.9596693519
0.0055368246, 44.8811763185
0.0068668122, 53.5148356093
0.0065869483, 52.8425305017
0.0064810241, 44.2248100975
0.0069240103, 44.1601929898
0.0079277533, 54.2676967112
0.0072153138, 42.9615695735
0.0072265619, 39.4483134935
0.0077044413, 38.6978934823
0.0075527347, 37.3585962292
0.0080420298, 34.5319567496
0.0078783092, 30.1366053522
0.0089996554, 49.043810399
0.0085551854, 36.3803889471
0.0086713765, 33.0679245464
0.0100834518, 45.8495235087
0.0098840243, 35.1600829014
0.0091958521, 32.0189734974
0.009230482, 29.0749702043
0.0088798983, 21.7679240677
0.0093696721, 23.0471034783
0.0098945784, 25.6933894306
0.0104888404, 23.2728325747
0.0122272799, 35.6070418288
0.0113977398, 19.8123232003
0.011467622, 19.2618811715
0.0115841243, 18.6181990494
0.0117346822, 10.103530966
0.0123770001, 19.9071906875
0.0128317131, 20.43513639
0.0135770834, 14.2216031744
0.0135648062, 8.9073486404
0.0141482747, 13.9005758101
0.014743494, 19.6916567348
0.0146733964, 18.3944802631
0.0148378589, 29.1538509403
0.0150461893, 16.2115229056
0.0160971985, 31.7686420356
0.0160133398, 12.4291724702
0.0158268836, 13.0074237877
0.0164792292, 8.8279892592
0.016490597, 6.3411879018
0.0182163524, 9.8711965652
0.0182154191, 1.8648497293
0.0197919808, 25.6111103134
0.0197569918, 25.4757494387
0.020675871, 7.6215639254
0.0203604917, 2.297497164
0.0209778244, -2.2225891836
0.0230992279, -4.8226858699
0.0237165128, -9.7533541065
0.0245674004, -10.8391129746
0.0247423453, -10.1623086017
0.0255935919, -8.1687033022
0.0277383773, -10.1995472016
0.027563241, -12.5186791306
0.0301044883, -13.6997362665
0.0314558474, -21.7412635277
0.0315374803, -21.4938518019
0.0314442402, -21.3073716154
0.0329475453, -25.9566921785
0.032982271, -28.0795316935
0.0329818641, -31.5694777502
0.0384595282, -44.167516262
