mu_min,C_min
0.0009188553, 230.7153831793
0.0017169005, 175.283158548
0.0014371084, 175.5997823759
0.0025540031, 154.8336787556
0.0021323885, 138.7852621939
0.003330988, 118.7735034758
0.0037147897, 110.5126450096
0.0015331007, 98.8937710704
0.0026754115, 96.1127624372
0.0028965217, 92.5009852115
0.0041324316, 92.4880617899
0.0048783284, 89.7964002687
0.0028944396, 74.6434491813
0.0027889222, 69.6563646256
0.003641174, 79.1358538792
0.0038270559, 73.3827773869
0.0036505794, 59.8026545665
0.0040703034, 59.6356073769
0.0050621999, 66.8015648508
0.0046064339, 57.8485055898
0.0057960588, 60.8646088112
0.0057262006, 61.7134861488
0.0063325484, 62.1563925465
0.0053174854, 56.2996893592
0.0048741402, 53.8760691738
0.0041857766, 50.0104504211
0.0049307879, 39.7242046113
0.005702005, 54.1966019379
0.0058183876, 52.3712883056
0.0055263422, 47.5952863016
0.0050468594, 35.2305235262
0.0055368246, 37.4987435562
0.0068668122, 44.3590860429
0.0065869483, 44.0599327663
0.0064810241, 35.5834446184
0.0069240103, 34.9281792813
0.0079277533, 43.6973589951
0.0072153138, 33.3411512056
0.0072265619, 29.8128975747
0.0077044413, 28.4253050166
0.0075527347, 27.2882832431
0.0080420298, 23.809250298
0.0078783092, 19.6321930408
0.0089996554, 37.0442698985
0.0085551854, 24.9734750761
0.0086713765, 21.5060891652
0.0100834518, 32.4049211113
0.0098840243, 21.981383891
0.0091958521, 19.757837417
0.009230482, 16.7676608128
0.0088798983, 9.9280596201
0.0093696721, 10.5542073715
0.0098945784, 12.5006182501
0.0104888404, 9.2877120598
0.0122272799, 19.3040019529
0.0113977398, 4.6153367509
0.011467622, 3.971718448
0.0115841243, 3.1726999899
0.0117346822, -5.5427119082
0.0123770001, 3.4045238357
0.0128317131, 3.3261855644
0.0135770834, -3.8811747231
0.0135648062, -9.1790595897
0.0141482747, -4.9637904873
0.014743494, 0.0336647154
0.0146733964, -1.1700482953
0.0148378589, 9.3700390415
0.0150461893, -3.8500627823
0.0160971985, 10.3057107164
0.0160133398, -8.9219473203
0.0158268836, -8.0950876639
0.0164792292, -13.1443163271
0.016490597, -15.6462747839
0.0182163524, -14.4172733495
0.0182154191, -22.4223757078
0.0197919808, -0.77819739
0.0197569918, -0.8669063084
0.020675871, -19.9462640941
0.0203604917, -24.8498250552
0.0209778244, -30.1930216715
0.0230992279, -35.6216564635
0.0237165128, -41.3753711495
0.0245674004, -43.5956468811
0.0247423453, -43.1521022897
0.0255935919, -42.2934924988
0.0277383773, -47.1840502641
0.027563241, -49.2696671341
0.0301044883, -53.8390539417
0.0314558474, -63.6823933539
0.0315374803, -63.5438255561
0.0314442402, -63.2330252453
0.0329475453, -69.8867525356
0.032982271, -72.0558930005
0.0329818641, -75.5452965925
0.0384595282, -95.4468871307
