mu_min,D_min
0.0017002882, 103.3783783783
0.0025504323, 90.9459459459
0.0040778098, 85.0
0.0057925072, 87.027027027
0.0028818444, 79.0540540541
0.0036599424, 78.2432432432
0.003314121, 67.972972973
0.002795389, 68.2432432432
0.0021325648, 47.972972973
0.0026512968, 59.8648648649
0.0036887608, 62.027027027
0.0042074928, 62.972972973
0.004092219, 56.0810810811
0.0038040346, 52.8378378378
0.0036023055, 52.027027027
0.0008933718, 23.6486486486
0.0014409222, 9.8648648649
0.0057204611, 61.0810810811
0.0050720461, 53.1081081081
0.004870317, 49.8648648649
0.0029106628, 43.1081081081
0.0050432277, 47.7027027027
0.004870317, 39.0540540541
0.0049567723, 34.1891891892
0.0046397695, 23.1081081081
0.0053602305, 35.2702702703
0.0055619597, 36.0810810811
0.0055331412, 32.027027027
0.0064553314, 44.1891891892
0.0063400576, 39.5945945946
0.007925072, 60.1351351351
0.0089913545, 54.1891891892
0.0078818444, 40.9459459459
0.0072190202, 34.0540540541
0.0068731988, 31.3513513514
0.0058069164, 21.7567567568
0.0057348703, 10.8108108108
0.008573487, 14.8648648649
0.0100864553, 47.8378378378
0.0076801153, 31.0810810811
0.0065994236, 25.1351351351
0.0069308357, 23.9189189189
0.0075648415, 26.7567567568
0.008054755, 27.972972973
0.0088760807, 38.2432432432
0.0098991354, 42.027027027
0.009351585, 30.1351351351
0.0092074928, 27.027027027
0.0086887608, 24.3243243243
0.0098847262, 27.7027027027
0.0092074928, 24.7297297297
0.0117435159, 45.9459459459
0.0128242075, 14.0540540541
0.0122190202, 45.0
0.0105043228, 30.1351351351
0.0115417867, 32.8378378378
0.0114553314, 22.7027027027
0.0135878963, 35.9459459459
0.0123775216, 24.8648648649
0.0161095101, 44.1891891892
0.0146685879, 31.3513513514
0.0141354467, 22.972972973
0.0150576369, 24.7297297297
0.014740634, 22.972972973
0.0148414986, 18.2432432432
0.0158501441, 23.6486486486
0.016037464, 22.1621621622
0.0164985591, 21.0810810811
0.0164985591, 19.7297297297
0.0197838617, 57.027027027
0.0182276657, 35.1351351351
0.0182276657, 29.0540540541
0.0206916427, 30.9459459459
0.0203746398, 28.1081081081
0.0209942363, 25.1351351351
0.0230835735, 28.2432432432
0.0237175793, 21.6216216216
0.0247262248, 26.0810810811
0.0276801153, 23.9189189189
0.0329682997, 36.0810810811
0.0301008646, 22.972972973
0.0314697406, 24.8648648649
0.0314697406, 19.0540540541
0.0329682997, 22.027027027
0.0384726225, 27.972972973
0.0015273775, 141.8918918918
