"GR_keas","GR_keas_copy","C_keas","D_keas","GR_ori","GR_ori_copy","C_ori","D_ori","GR_fit","GR_fit_copy","C_fit","D_fit"
"0.0004","0.0004","191.3113523425","88.8486251268","0.0185101257","0.0185101257","84.375","43.75","0.0004","0.0004","1190.3241308157","227.215083535"
"0.0005","0.0005","176.0656661836","86.129521643","0.0176517044","0.0176517044","142.5","23.125","0.0005","0.0005","1029.7271994859","193.2414006033"
"0.0006","0.0006","162.3560904544","83.5178062696","0.0162592563","0.0162592563","86.25","26.875","0.0006","0.0006","914.7321956973","169.8002252368"
"0.0007","0.0007","150.0278511926","81.0092378269","0.0144525094","0.0144525094","135.6704517415","10.0491722993","0.0007","0.0007","827.5838848967","152.5729922976"
"0.0008","0.0008","138.9417690048","78.5997426363","0.0120543659","0.0120543659","101.9204517415","51.2991722993","0.0008","0.0008","758.8330813806","139.3345775067"
"0.0009","0.0009","128.972687803","76.2854079047","0.0092702087","0.0092702087","165.8529848615","93.378611943","0.0009","0.0009","702.9471789938","128.8171620724"
"0.001","0.001","120.0080618582","74.0624753706","0.0064387633","0.0064387633","168.3281141737","125.253611943","0.001","0.001","656.4523422976","120.2432473626"
"0.0011","0.0011","111.9466852173","71.9273352011","0.0042332208","0.0042332208","226.2667484267","91.3003798101","0.0011","0.0011","617.0475798233","113.1084335384"
"0.0012","0.0012","104.6975491412","69.8765201298","0.0028105869","0.0028105869","284.3917484267","108.17537981","0.0012","0.0012","583.1428874952","107.0706037376"
"0.0013","0.0013","98.178814663","67.9066998262","0.0017563661","0.0017563661","343.7135390271","90.1237205023","0.0013","0.0013","553.6011644582","101.8891802078"
"0.0014","0.0014","92.3168886693","66.014675488","0.0010995793","0.0010995793","402.6751672814","69.9992952437","0.0014","0.0014","527.5857333471","97.3898519577"
"0.0015","0.0015","87.0455930717","64.1973746458","0.0010414139","0.0010414139","458.7004124163","86.1185179575","0.0015","0.0015","504.4660331543","93.4431001196"
"0.0016","0.0016","82.3054176914","62.4518461744","0.001202225","0.001202225","518.6587774342","140.4935179575","0.0016","0.0016","483.7570124727","89.9505952876"
"0.0017","0.0017","78.0428484198","60.7752555001","0.0011945429","0.0011945429","462.4087774342","144.2435179575","0.0017","0.0017","465.0788906164","86.8362861376"
"0.0018","0.0018","74.2097630722","59.1648799976","0.0010939943","0.0010939943","408.0337774342","116.1185179575","0.0018","0.0018","448.129681718","84.0403897111"
"0.0019","0.0019","70.7628881134","57.6181045689","0.0010289628","0.0010289628","348.9133562156","118.959149701","0.0019","0.0019","432.6659700033","81.5152350177"
"0.002","0.002","67.6633101223","56.1324173965","0.000998151","0.000998151","292.6633562156","122.709149701","0.002","0.002","418.4891667649","79.2223240136"
"0.0021","0.0021","64.8760364795","54.7054058644","0.0009691308","0.0009691308","275.10563734","163.9591497009","0.0021","0.0021","405.4354976005","77.1302122163"
"0.0022","0.0022","62.3696003188","53.3347526405","0.0005519213","0.0005519213","1806.6580366074","1481.1513436654","0.0022","0.0022","393.3685827531","75.2129533925"
"0.0023","0.0023","60.1157052826","52.018231913","0.0215029647","0.0215029647","147.65625","32.8125","0.0023","0.0023","382.1738547257","73.448940117"
"0.0024","0.0024","58.0889060712","50.7537057764","0.0214854423","0.0214854423","155.15625","27.1875","0.0024","0.0024","371.7543001501","71.8200270998"
"0.0025","0.0025","56.2663211782","49.5391207595","0.0199810111","0.0199810111","137.5271539707","34.8714351917","0.0025","0.0025","362.0271710468","70.3108597325"
"0.0026","0.0026","54.6273745704","48.3725044905","0.0184665409","0.0184665409","172.9203820521","23.6214351917","0.0026","0.0026","352.9214157776","68.9083537488"
"0.0027","0.0027","53.1535633951","47.2519624948","0.0162527642","0.0162527642","180.9234443936","45.3067634326","0.0027","0.0027","344.3756512221","67.6012876369"
"0.0028","0.0028","51.8282490926","46.1756751176","0.013961869","0.013961869","250.6252220683","29.5087673999","0.0028","0.0028","336.3365467974","66.3799802068"
"0.0029","0.0029","50.6364695554","45.1418945697","0.0112683681","0.0112683681","306.8752220683","40.7587673998","0.0029","0.0029","328.7575252831","65.236033193"
"0.003","0.003","49.5647702138","44.148942089","0.0075849391","0.0075849391","365.0002220684","20.1337673998","0.003","0.003","321.5977098003","64.1621240359"
"0.0031","0.0031","48.6010521411","43.1952052142","0.0041758671","0.0041758671","421.2502220684","10.7002426699","0.0031","0.0031","314.8210638294","63.1518377563"
"0.0032","0.0032","47.7344354626","42.2791351664","0.0023586739","0.0023586739","483.6386711785","22.9818053905","0.0032","0.0032","308.395683924","62.1995295504"
"0.0033","0.0033","46.955136528","41.3992443344","0.0018779329","0.0018779329","541.1583736576","14.0129673963","0.0033","0.0033","302.2932141798","61.3002117317"
"0.0034","0.0034","46.2543574585","40.5541038583","0.0019424563","0.0019424563","595.2878659158","14.1795377658","0.0034","0.0034","296.4883585193","60.4494601135"
